,2009-10,2010-11,2011-12,2012-13,2013-14,2009-10,2010-11,2011-12,2012-13,2013-14,2009-10,2010-11,2011-12,2012-13,2013-14
,outturn,outturn,outturn,outturn,outturn,outturn,outturn,outturn,outturn,outturn,outturn,outturn,outturn,outturn,outturn
North East,3,3,2,3,3,3,3,3,3,3,0,0,0,0,0
North West,8,8,6,7,7,8,8,7,7,7,0,0,0,0,-1
Yorkshire and the Humber,5,5,4,4,4,5,5,4,4,5,0,0,0,0,0
East Midlands,6,6,4,5,5,6,6,5,5,5,0,0,0,0,0
West Midlands,7,7,5,6,6,7,6,6,6,6,0,0,0,0,0
East,10,9,8,8,8,10,9,8,8,8,0,0,0,0,0
London,11,11,10,10,11,11,11,9,10,11,0,0,1,0,-1
South East,12,11,7,11,11,12,11,11,10,11,0,0,-4,0,-1
South West,7,7,5,5,5,6,6,6,5,6,0,0,-1,0,0
England,69,67,53,59,59,67,64,58,57,63,2,2,-5,2,-4
Scotland,5,5,5,4,6,5,5,4,4,6,-,0,0,-,-
Wales,3,4,3,4,5,3,4,3,4,5,-,0,0,-,-
Northern Ireland,-,0,0,-,-,-,-,-,-,-,-,0,0,-,-
UK identifiable expenditure,77,75,61,66,70,76,73,66,65,74,2,2,-5,2,-4
Outside the UK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total identifiable expenditure,77,75,61,66,70,76,73,66,65,74,2,2,-5,2,-4
Non-identifiable expenditure,"37,634","39,212","38,601","36,288","36,360","33,576","34,909","34,990","32,834","33,095","4,058","4,303","3,611","3,454","3,265"
Total Expenditure on Services,"37,712","39,287","38,662","36,355","36,430","33,652","34,982","35,056","32,899","33,169","4,060","4,305","3,606","3,456","3,261"
